10.173.161.34 - - [20/Oct/2016:08:01:27 -0700] "GET /jenkins/job/SRS_RMA_BUILD_TRIGGER_BY_RMADEV_SP305/build?token=INSTALLER HTTP/1.1" 201 -
10.58.180.73 - - [20/Oct/2016:19:59:33 -0700] "GET /jenkins/ HTTP/1.1" 200 9092
10.58.180.73 - - [20/Oct/2016:19:59:33 -0700] "GET /jenkins/static/799d8c88/css/color.css HTTP/1.1" 200 763
10.58.180.73 - - [20/Oct/2016:19:59:33 -0700] "GET /jenkins/static/799d8c88/css/responsive-grid.css HTTP/1.1" 200 4051
10.58.180.73 - - [20/Oct/2016:19:59:33 -0700] "GET /jenkins/static/799d8c88/css/style.css HTTP/1.1" 200 8071
10.58.180.73 - - [20/Oct/2016:19:59:33 -0700] "GET /jenkins/static/799d8c88/scripts/yui/container/assets/container.css HTTP/1.1" 200 2306
10.58.180.73 - - [20/Oct/2016:19:59:33 -0700] "GET /jenkins/static/799d8c88/scripts/yui/assets/skins/sam/skin.css HTTP/1.1" 200 16551
10.58.180.73 - - [20/Oct/2016:19:59:33 -0700] "GET /jenkins/static/799d8c88/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 200 1277
10.58.180.73 - - [20/Oct/2016:19:59:33 -0700] "GET /jenkins/static/799d8c88/scripts/yui/button/assets/skins/sam/button.css HTTP/1.1" 200 810
10.58.180.73 - - [20/Oct/2016:19:59:33 -0700] "GET /jenkins/static/799d8c88/scripts/yui/menu/assets/skins/sam/menu.css HTTP/1.1" 200 1301
10.58.180.73 - - [20/Oct/2016:19:59:33 -0700] "GET /jenkins/adjuncts/799d8c88/lib/layout/breadcrumbs.css HTTP/1.1" 200 717
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/headshot.png HTTP/1.1" 200 2409
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/title.png HTTP/1.1" 200 3609
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/16x16/help.png HTTP/1.1" 200 791
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/24x24/user.png HTTP/1.1" 200 1248
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/24x24/new-package.png HTTP/1.1" 200 967
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/24x24/setting.png HTTP/1.1" 200 1213
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/24x24/notepad.png HTTP/1.1" 200 1021
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/16x16/collapse.png HTTP/1.1" 200 289
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/plugin/credentials/images/48x48/credentials.png HTTP/1.1" 200 4008
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/16x16/stop.png HTTP/1.1" 200 500
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/16x16/search.png HTTP/1.1" 200 814
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/16x16/hourglass.png HTTP/1.1" 200 320
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/16x16/computer.png HTTP/1.1" 200 650
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/adjuncts/799d8c88/lib/layout/menu_right_arrow2.png HTTP/1.1" 200 2813
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/adjuncts/799d8c88/lib/layout/menu_down_arrow.png HTTP/1.1" 200 2841
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/16x16/computer-x.png HTTP/1.1" 200 737
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/16x16/notepad.png HTTP/1.1" 200 406
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/32x32/nobuilt.png HTTP/1.1" 200 1620
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/32x32/health-80plus.png HTTP/1.1" 200 1298
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/plugin/translation/flags.png HTTP/1.1" 200 543
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/32x32/aborted.png HTTP/1.1" 200 1620
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/32x32/health-60to79.png HTTP/1.1" 200 1743
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/24x24/clock.png HTTP/1.1" 200 1591
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/32x32/blue.png HTTP/1.1" 200 1683
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/32x32/health-40to59.png HTTP/1.1" 200 1348
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/16x16/health-80plus.png HTTP/1.1" 200 515
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/16x16/health-40to59.png HTTP/1.1" 200 542
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/16x16/health-60to79.png HTTP/1.1" 200 672
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/32x32/red.png HTTP/1.1" 200 1527
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/32x32/red_anime.gif HTTP/1.1" 200 6380
10.58.180.73 - - [20/Oct/2016:19:59:34 -0700] "GET /jenkins/static/799d8c88/images/32x32/health-00to19.png HTTP/1.1" 200 1937
10.58.180.73 - - [20/Oct/2016:19:59:35 -0700] "GET /jenkins/static/799d8c88/images/16x16/health-00to19.png HTTP/1.1" 200 670
10.58.180.73 - - [20/Oct/2016:19:59:35 -0700] "GET /jenkins/static/799d8c88/images/24x24/clock_anime.gif HTTP/1.1" 200 5238
10.58.180.73 - - [20/Oct/2016:19:59:35 -0700] "GET /jenkins/static/799d8c88/images/atom.gif HTTP/1.1" 200 644
10.58.180.73 - - [20/Oct/2016:19:59:35 -0700] "GET /jenkins/static/799d8c88/images/top-sticker-bottom-edge.png HTTP/1.1" 200 348
10.58.180.73 - - [20/Oct/2016:19:59:35 -0700] "GET /jenkins/static/799d8c88/favicon.ico HTTP/1.1" 200 17542
10.58.180.73 - - [20/Oct/2016:19:59:39 -0700] "POST /jenkins/ajaxBuildQueue HTTP/1.1" 200 687
10.58.180.73 - - [20/Oct/2016:19:59:39 -0700] "POST /jenkins/ajaxExecutors HTTP/1.1" 200 1016
10.58.180.73 - - [20/Oct/2016:19:59:40 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/ HTTP/1.1" 200 6420
10.58.180.73 - - [20/Oct/2016:19:59:40 -0700] "GET /jenkins/static/799d8c88/images/24x24/up.png HTTP/1.1" 200 816
10.58.180.73 - - [20/Oct/2016:19:59:40 -0700] "GET /jenkins/static/799d8c88/images/24x24/search.png HTTP/1.1" 200 1309
10.58.180.73 - - [20/Oct/2016:19:59:40 -0700] "GET /jenkins/static/799d8c88/images/24x24/folder.png HTTP/1.1" 200 922
10.58.180.73 - - [20/Oct/2016:19:59:40 -0700] "GET /jenkins/static/799d8c88/images/24x24/edit-delete.png HTTP/1.1" 200 1236
10.58.180.73 - - [20/Oct/2016:19:59:40 -0700] "GET /jenkins/static/799d8c88/plugin/email-ext/images/template-debugger.png HTTP/1.1" 200 818
10.58.180.73 - - [20/Oct/2016:19:59:40 -0700] "GET /jenkins/static/799d8c88/images/16x16/blue.png HTTP/1.1" 200 685
10.58.180.73 - - [20/Oct/2016:19:59:40 -0700] "GET /jenkins/static/799d8c88/images/16x16/red.png HTTP/1.1" 200 660
10.58.180.73 - - [20/Oct/2016:19:59:40 -0700] "GET /jenkins/static/799d8c88/images/48x48/notepad.png HTTP/1.1" 200 2291
10.58.180.73 - - [20/Oct/2016:19:59:40 -0700] "GET /jenkins/static/799d8c88/images/48x48/folder.png HTTP/1.1" 200 2071
10.58.180.73 - - [20/Oct/2016:19:59:40 -0700] "GET /jenkins/static/799d8c88/images/16x16/red_anime.gif HTTP/1.1" 200 3325
10.58.180.73 - - [20/Oct/2016:19:59:40 -0700] "GET /jenkins/static/799d8c88/images/16x16/aborted.png HTTP/1.1" 200 833
10.58.180.73 - - [20/Oct/2016:19:59:45 -0700] "POST /jenkins/job/SP305_SRS_DAILY_BUILD/buildHistory/ajax HTTP/1.1" 200 51
10.58.180.73 - - [20/Oct/2016:19:59:46 -0700] "POST /jenkins/job/SP305_SRS_DAILY_BUILD/79/contextMenu HTTP/1.1" 200 361
10.58.180.73 - - [20/Oct/2016:19:59:46 -0700] "GET /jenkins/static/799d8c88/images/24x24/terminal.png HTTP/1.1" 200 1086
10.58.180.73 - - [20/Oct/2016:19:59:46 -0700] "GET /jenkins/static/799d8c88/images/24x24/document-properties.png HTTP/1.1" 200 1102
10.58.180.73 - - [20/Oct/2016:19:59:47 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/79/console HTTP/1.1" 200 9338
10.58.180.73 - - [20/Oct/2016:19:59:47 -0700] "GET /jenkins/static/799d8c88/images/24x24/document.png HTTP/1.1" 200 367
10.58.180.73 - - [20/Oct/2016:19:59:47 -0700] "GET /jenkins/descriptor/hudson.tasks._ant.AntOutcomeNote/style.css HTTP/1.1" 304 -
10.58.180.73 - - [20/Oct/2016:19:59:47 -0700] "GET /jenkins/descriptor/hudson.console.ExpandableDetailsNote/style.css HTTP/1.1" 304 -
10.58.180.73 - - [20/Oct/2016:19:59:48 -0700] "GET /jenkins/extensionList/hudson.console.ConsoleAnnotatorFactory/hudson.plugins.timestamper.annotator.TimestampAnnotatorFactory/script.js HTTP/1.1" 304 -
10.58.180.73 - - [20/Oct/2016:19:59:48 -0700] "GET /jenkins/static/799d8c88/images/48x48/blue.png HTTP/1.1" 200 2885
10.58.180.73 - - [20/Oct/2016:19:59:48 -0700] "GET /jenkins/static/799d8c88/images/24x24/previous.png HTTP/1.1" 200 860
10.58.180.73 - - [20/Oct/2016:19:59:48 -0700] "GET /jenkins/descriptor/hudson.console.ExpandableDetailsNote/script.js HTTP/1.1" 304 -
