10.173.161.34 - - [11/Aug/2016:08:02:47 -0700] "GET /jenkins/job/SRS_RMA_BUILD_TRIGGER_BY_RMADEV_SP305/build?token=INSTALLER HTTP/1.1" 201 -
10.58.180.73 - - [11/Aug/2016:19:29:28 -0700] "GET /jenkins/ HTTP/1.1" 200 7144
10.58.180.73 - - [11/Aug/2016:19:29:28 -0700] "GET /jenkins/static/dbb0d4e1/css/color.css HTTP/1.1" 200 763
10.58.180.73 - - [11/Aug/2016:19:29:28 -0700] "GET /jenkins/static/dbb0d4e1/css/style.css HTTP/1.1" 200 8071
10.58.180.73 - - [11/Aug/2016:19:29:28 -0700] "GET /jenkins/static/dbb0d4e1/css/responsive-grid.css HTTP/1.1" 200 4051
10.58.180.73 - - [11/Aug/2016:19:29:28 -0700] "GET /jenkins/static/dbb0d4e1/scripts/yui/container/assets/container.css HTTP/1.1" 200 2306
10.58.180.73 - - [11/Aug/2016:19:29:28 -0700] "GET /jenkins/static/dbb0d4e1/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 200 1277
10.58.180.73 - - [11/Aug/2016:19:29:28 -0700] "GET /jenkins/static/dbb0d4e1/scripts/yui/assets/skins/sam/skin.css HTTP/1.1" 200 16551
10.58.180.73 - - [11/Aug/2016:19:29:28 -0700] "GET /jenkins/static/dbb0d4e1/scripts/yui/button/assets/skins/sam/button.css HTTP/1.1" 200 810
10.58.180.73 - - [11/Aug/2016:19:29:28 -0700] "GET /jenkins/adjuncts/dbb0d4e1/lib/layout/breadcrumbs.css HTTP/1.1" 200 717
10.58.180.73 - - [11/Aug/2016:19:29:28 -0700] "GET /jenkins/static/dbb0d4e1/scripts/yui/menu/assets/skins/sam/menu.css HTTP/1.1" 200 1301
10.58.180.73 - - [11/Aug/2016:19:29:29 -0700] "GET /jenkins/static/dbb0d4e1/scripts/behavior.js HTTP/1.1" 200 2360
10.58.180.73 - - [11/Aug/2016:19:29:29 -0700] "GET /jenkins/adjuncts/dbb0d4e1/org/kohsuke/stapler/bind.js HTTP/1.1" 200 936
10.58.180.73 - - [11/Aug/2016:19:29:29 -0700] "GET /jenkins/static/dbb0d4e1/scripts/yui/yahoo/yahoo-min.js HTTP/1.1" 200 3038
10.58.180.73 - - [11/Aug/2016:19:29:29 -0700] "GET /jenkins/static/dbb0d4e1/scripts/yui/dom/dom-min.js HTTP/1.1" 200 5739
10.58.180.73 - - [11/Aug/2016:19:29:29 -0700] "GET /jenkins/static/dbb0d4e1/scripts/yui/event/event-min.js HTTP/1.1" 200 5146
10.58.180.73 - - [11/Aug/2016:19:29:29 -0700] "GET /jenkins/static/dbb0d4e1/scripts/yui/animation/animation-min.js HTTP/1.1" 200 4877
10.58.180.73 - - [11/Aug/2016:19:29:29 -0700] "GET /jenkins/static/dbb0d4e1/scripts/yui/dragdrop/dragdrop-min.js HTTP/1.1" 200 6974
