10.172.219.212 - - [08/May/2016:18:05:45 -0700] "GET /jenkins/job/SRS_RMA_BUILD_TRIGGER_BY_RMADEV_SP304/build?token=INSTALLER HTTP/1.1" 201 -
10.58.181.30 - - [08/May/2016:22:51:02 -0700] "GET /jenkins/job/SRS_RMA_BUILD_TRIGGER_BY_RMADEV_SP304/72/console HTTP/1.1" 200 11713
10.58.181.30 - - [08/May/2016:22:51:02 -0700] "GET /jenkins/static/1b791ed8/css/color.css HTTP/1.1" 200 763
10.58.181.30 - - [08/May/2016:22:51:02 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/container/assets/container.css HTTP/1.1" 200 2306
10.58.181.30 - - [08/May/2016:22:51:02 -0700] "GET /jenkins/static/1b791ed8/css/style.css HTTP/1.1" 200 8071
10.58.181.30 - - [08/May/2016:22:51:02 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 200 1277
10.58.181.30 - - [08/May/2016:22:51:02 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/button/assets/skins/sam/button.css HTTP/1.1" 200 810
10.58.181.30 - - [08/May/2016:22:51:02 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/menu/assets/skins/sam/menu.css HTTP/1.1" 200 1301
10.58.181.30 - - [08/May/2016:22:51:02 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/assets/skins/sam/skin.css HTTP/1.1" 200 16551
10.58.181.30 - - [08/May/2016:22:51:02 -0700] "GET /jenkins/adjuncts/1b791ed8/lib/layout/breadcrumbs.css HTTP/1.1" 200 717
10.58.181.30 - - [08/May/2016:22:51:02 -0700] "GET /jenkins/descriptor/hudson.tasks._ant.AntOutcomeNote/style.css HTTP/1.1" 200 101
10.58.181.30 - - [08/May/2016:22:51:02 -0700] "GET /jenkins/descriptor/hudson.console.ExpandableDetailsNote/style.css HTTP/1.1" 200 114
10.58.181.30 - - [08/May/2016:22:51:02 -0700] "GET /jenkins/static/1b791ed8/images/headshot.png HTTP/1.1" 200 2409
10.58.181.30 - - [08/May/2016:22:51:03 -0700] "GET /jenkins/static/1b791ed8/images/title.png HTTP/1.1" 200 3609
10.58.181.30 - - [08/May/2016:22:51:03 -0700] "GET /jenkins/static/1b791ed8/images/16x16/help.png HTTP/1.1" 200 791
10.58.181.30 - - [08/May/2016:22:51:03 -0700] "GET /jenkins/static/1b791ed8/images/24x24/up.png HTTP/1.1" 200 816
10.58.181.30 - - [08/May/2016:22:51:03 -0700] "GET /jenkins/static/1b791ed8/images/24x24/search.png HTTP/1.1" 200 1309
10.58.181.30 - - [08/May/2016:22:51:03 -0700] "GET /jenkins/static/1b791ed8/images/24x24/notepad.png HTTP/1.1" 200 1021
10.58.181.30 - - [08/May/2016:22:51:03 -0700] "GET /jenkins/static/1b791ed8/images/24x24/terminal.png HTTP/1.1" 200 1086
10.58.181.30 - - [08/May/2016:22:51:03 -0700] "GET /jenkins/static/1b791ed8/images/24x24/document.png HTTP/1.1" 200 367
10.58.181.30 - - [08/May/2016:22:51:03 -0700] "GET /jenkins/static/1b791ed8/images/16x16/search.png HTTP/1.1" 200 814
10.58.181.30 - - [08/May/2016:22:51:03 -0700] "GET /jenkins/static/1b791ed8/images/24x24/document-properties.png HTTP/1.1" 200 1102
10.58.181.30 - - [08/May/2016:22:51:03 -0700] "GET /jenkins/static/1b791ed8/images/24x24/previous.png HTTP/1.1" 200 860
10.58.181.30 - - [08/May/2016:22:51:03 -0700] "GET /jenkins/static/1b791ed8/images/48x48/blue.png HTTP/1.1" 200 2885
10.58.181.30 - - [08/May/2016:22:51:03 -0700] "GET /jenkins/adjuncts/1b791ed8/lib/layout/menu_down_arrow.png HTTP/1.1" 200 2841
10.58.181.30 - - [08/May/2016:22:51:03 -0700] "GET /jenkins/static/1b791ed8/plugin/translation/flags.png HTTP/1.1" 200 543
10.58.181.30 - - [08/May/2016:22:51:03 -0700] "GET /jenkins/adjuncts/1b791ed8/lib/layout/menu_right_arrow2.png HTTP/1.1" 200 2813
10.58.181.30 - - [08/May/2016:22:51:03 -0700] "POST /jenkins/extensionList/hudson.console.ConsoleAnnotatorFactory/hudson.plugins.timestamper.annotator.TimestampAnnotatorFactory/usersettings HTTP/1.1" 200 236
10.58.181.30 - - [08/May/2016:22:51:03 -0700] "GET /jenkins/static/1b791ed8/images/top-sticker-bottom-edge.png HTTP/1.1" 200 348
