10.58.180.73 - - [11/May/2017:01:16:38 -0700] "GET /jenkins/ HTTP/1.1" 200 9789
10.58.180.73 - - [11/May/2017:01:16:44 -0700] "POST /jenkins/ajaxBuildQueue HTTP/1.1" 200 340
10.58.180.73 - - [11/May/2017:01:16:44 -0700] "POST /jenkins/ajaxExecutors HTTP/1.1" 200 698
10.58.180.73 - - [11/May/2017:01:16:47 -0700] "GET /jenkins/job/160SP03_SRS_DAILY_BUILD/ HTTP/1.1" 200 6390
10.58.180.73 - - [11/May/2017:01:16:50 -0700] "POST /jenkins/job/160SP03_SRS_DAILY_BUILD/35/contextMenu HTTP/1.1" 200 364
10.58.180.73 - - [11/May/2017:01:16:51 -0700] "GET /jenkins/job/160SP03_SRS_DAILY_BUILD/35/console HTTP/1.1" 200 13753
10.58.180.73 - - [11/May/2017:01:16:51 -0700] "GET /jenkins/descriptor/hudson.tasks._ant.AntOutcomeNote/style.css HTTP/1.1" 304 -
10.58.180.73 - - [11/May/2017:01:16:51 -0700] "GET /jenkins/descriptor/hudson.console.ExpandableDetailsNote/style.css HTTP/1.1" 304 -
10.58.180.73 - - [11/May/2017:01:16:51 -0700] "GET /jenkins/extensionList/hudson.console.ConsoleAnnotatorFactory/hudson.plugins.timestamper.annotator.TimestampAnnotatorFactory/script.js HTTP/1.1" 304 -
10.58.180.73 - - [11/May/2017:01:16:51 -0700] "GET /jenkins/descriptor/hudson.tasks._ant.AntTargetNote/script.js HTTP/1.1" 304 -
10.58.180.73 - - [11/May/2017:01:16:51 -0700] "GET /jenkins/descriptor/hudson.console.ExpandableDetailsNote/script.js HTTP/1.1" 304 -
10.58.180.73 - - [11/May/2017:01:16:51 -0700] "POST /jenkins/extensionList/hudson.console.ConsoleAnnotatorFactory/hudson.plugins.timestamper.annotator.TimestampAnnotatorFactory/usersettings HTTP/1.1" 200 236
10.58.180.73 - - [11/May/2017:01:17:06 -0700] "GET /jenkins/job/160SP03_SRS_DAILY_BUILD/ HTTP/1.1" 200 6388
10.58.180.73 - - [11/May/2017:01:17:08 -0700] "GET /jenkins/job/SRS_160SP03_SERIAL/ HTTP/1.1" 200 6868
10.58.180.73 - - [11/May/2017:01:17:10 -0700] "GET /jenkins/job/SRS_160SP03_SERIAL/configure HTTP/1.1" 200 23044
10.58.180.73 - - [11/May/2017:01:17:11 -0700] "GET /jenkins/job/SRS_160SP03_SERIAL/descriptorByName/com.tikal.jenkins.plugins.multijob.MultiJobProject/checkLabel?value= HTTP/1.1" 200 6
10.58.180.73 - - [11/May/2017:01:17:11 -0700] "POST /jenkins/$stapler/bound/1153262c-dead-4c67-8b2d-e91f307398dc/render HTTP/1.1" 200 791
10.58.180.73 - - [11/May/2017:01:17:11 -0700] "POST /jenkins/job/SRS_160SP03_SERIAL/descriptorByName/hudson.scm.CvsRepository/fillCompressionLevelItems HTTP/1.1" 200 154
