10.173.161.34 - - [22/Aug/2016:08:02:15 -0700] "GET /jenkins/job/SRS_RMA_BUILD_TRIGGER_BY_RMADEV_SP305/build?token=INSTALLER HTTP/1.1" 201 -
10.58.180.73 - - [22/Aug/2016:17:49:22 -0700] "POST /jenkins/job/SP305_SRS_DAILY_BUILD/buildHistory/ajax HTTP/1.1" 200 496
10.58.180.73 - - [22/Aug/2016:17:49:25 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/configure HTTP/1.1" 200 24901
10.58.180.73 - - [22/Aug/2016:17:49:26 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/descriptorByName/hudson.model.FreeStyleProject/checkLabel?value=master HTTP/1.1" 200 171
10.58.180.73 - - [22/Aug/2016:17:49:26 -0700] "POST /jenkins/$stapler/bound/5fb29c14-530b-4d91-9fa9-9fb91e623ad8/render HTTP/1.1" 200 787
10.58.180.73 - - [22/Aug/2016:17:49:26 -0700] "POST /jenkins/job/SP305_SRS_DAILY_BUILD/descriptorByName/hudson.scm.CvsRepository/fillCompressionLevelItems HTTP/1.1" 200 154
10.58.180.73 - - [22/Aug/2016:17:49:26 -0700] "POST /jenkins/$stapler/bound/6543208a-3402-4984-9fe3-f3f8633a6f17/render HTTP/1.1" 200 180
10.58.180.73 - - [22/Aug/2016:17:49:26 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/descriptorByName/hudson.model.FreeStyleProject/checkCustomWorkspace?value=&customWorkspace= HTTP/1.1" 200 119
10.58.180.73 - - [22/Aug/2016:17:49:26 -0700] "POST /jenkins/job/SP305_SRS_DAILY_BUILD/descriptorByName/hudson.scm.CvsRepository/fillCompressionLevelItems HTTP/1.1" 200 154
10.58.180.73 - - [22/Aug/2016:17:49:26 -0700] "GET /jenkins/checkDisplayName?displayName=&jobName=SP305_SRS_DAILY_BUILD HTTP/1.1" 200 6
10.58.180.73 - - [22/Aug/2016:17:49:27 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/descriptorByName/hudson.scm.CvsRepository/checkCvsRoot?value= HTTP/1.1" 200 113
10.58.180.73 - - [22/Aug/2016:17:49:27 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/descriptorByName/hudson.scm.CvsModule/checkRemoteName?value= HTTP/1.1" 200 117
10.58.180.73 - - [22/Aug/2016:17:49:27 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/descriptorByName/hudson.scm.ExcludedRegion/checkPattern?value= HTTP/1.1" 200 6
10.58.180.73 - - [22/Aug/2016:17:49:27 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/descriptorByName/hudson.scm.CvsRepository/checkCvsRoot?value= HTTP/1.1" 200 113
10.58.180.73 - - [22/Aug/2016:17:49:27 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/descriptorByName/hudson.scm.CvsModule/checkRemoteName?value= HTTP/1.1" 200 117
10.58.180.73 - - [22/Aug/2016:17:49:28 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/descriptorByName/hudson.scm.CvsModule/checkProjectsetFileName?value= HTTP/1.1" 200 126
10.58.180.73 - - [22/Aug/2016:17:49:28 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/descriptorByName/hudson.scm.ExcludedRegion/checkPattern?value= HTTP/1.1" 200 6
10.58.180.73 - - [22/Aug/2016:17:49:28 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/descriptorByName/hudson.scm.SubversionSCM/checkRemote?value= HTTP/1.1" 200 120
10.58.180.73 - - [22/Aug/2016:17:49:28 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/descriptorByName/hudson.scm.SubversionSCM/checkLocal?value=. HTTP/1.1" 200 6
10.58.180.73 - - [22/Aug/2016:17:49:28 -0700] "POST /jenkins/job/SP305_SRS_DAILY_BUILD/buildHistory/ajax HTTP/1.1" 200 51
10.58.180.73 - - [22/Aug/2016:17:49:28 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/descriptorByName/hudson.scm.SubversionSCM/checkRevisionPropertiesSupported?value= HTTP/1.1" 200 6
