10.172.162.20 - - [19/Apr/2016:02:23:14 -0700] "GET /jenkins/job/SRS_RMA_BUILD_TRIGGER_BY_RMADEV_SP304/build?token=INSTALLER HTTP/1.1" 201 -
10.58.180.73 - - [19/Apr/2016:22:25:19 -0700] "GET /jenkins/ HTTP/1.1" 200 6789
10.58.180.73 - - [19/Apr/2016:22:25:19 -0700] "GET /jenkins/static/1b791ed8/css/style.css HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:19 -0700] "GET /jenkins/static/1b791ed8/css/color.css HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:19 -0700] "GET /jenkins/static/1b791ed8/css/responsive-grid.css HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:19 -0700] "GET /jenkins/static/1b791ed8/scripts/behavior.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:19 -0700] "GET /jenkins/static/1b791ed8/scripts/prototype.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/adjuncts/1b791ed8/org/kohsuke/stapler/bind.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/yahoo/yahoo-min.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/dom/dom-min.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/event/event-min.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/animation/animation-min.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/dragdrop/dragdrop-min.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/container/container-min.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/connection/connection-min.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/datasource/datasource-min.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/autocomplete/autocomplete-min.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/menu/menu-min.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/element/element-min.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/button/button-min.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/storage/storage-min.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/static/1b791ed8/scripts/hudson-behavior.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/static/1b791ed8/scripts/sortable.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/cookie/cookie-min.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:20 -0700] "GET /jenkins/adjuncts/1b791ed8/lib/layout/breadcrumbs.js HTTP/1.1" 304 -
10.58.180.73 - - [19/Apr/2016:22:25:21 -0700] "GET /jenkins/static/1b791ed8/favicon.ico HTTP/1.1" 200 17542
10.58.180.73 - - [19/Apr/2016:22:25:25 -0700] "POST /jenkins/ajaxBuildQueue HTTP/1.1" 200 338
