10.172.162.20 - - [21/Apr/2016:00:04:00 -0700] "GET /jenkins/job/SRS_RMA_BUILD_TRIGGER_BY_RMADEV_SP304/build?token=INSTALLER HTTP/1.1" 201 -
10.58.180.73 - - [21/Apr/2016:01:43:40 -0700] "POST /jenkins/job/SP304_SRS_WEEKLY_BUILD/buildHistory/ajax HTTP/1.1" 200 51
10.58.180.73 - - [21/Apr/2016:01:43:43 -0700] "GET /jenkins/job/SP304_SRS_WEEKLY_BUILD/configure HTTP/1.1" 200 24578
10.58.180.73 - - [21/Apr/2016:01:43:43 -0700] "GET /jenkins/static/1b791ed8/css/style.css HTTP/1.1" 304 -
10.58.180.73 - - [21/Apr/2016:01:43:43 -0700] "GET /jenkins/static/1b791ed8/css/color.css HTTP/1.1" 304 -
10.58.180.73 - - [21/Apr/2016:01:43:43 -0700] "GET /jenkins/static/1b791ed8/css/responsive-grid.css HTTP/1.1" 304 -
10.58.180.73 - - [21/Apr/2016:01:43:44 -0700] "GET /jenkins/static/1b791ed8/scripts/prototype.js HTTP/1.1" 304 -
10.58.180.73 - - [21/Apr/2016:01:43:44 -0700] "GET /jenkins/static/1b791ed8/scripts/behavior.js HTTP/1.1" 304 -
10.58.180.73 - - [21/Apr/2016:01:43:44 -0700] "GET /jenkins/adjuncts/1b791ed8/org/kohsuke/stapler/bind.js HTTP/1.1" 304 -
10.58.180.73 - - [21/Apr/2016:01:43:44 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/yahoo/yahoo-min.js HTTP/1.1" 304 -
10.58.180.73 - - [21/Apr/2016:01:43:44 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/dom/dom-min.js HTTP/1.1" 304 -
10.58.180.73 - - [21/Apr/2016:01:43:44 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/event/event-min.js HTTP/1.1" 304 -
10.58.180.73 - - [21/Apr/2016:01:43:44 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/dragdrop/dragdrop-min.js HTTP/1.1" 304 -
10.58.180.73 - - [21/Apr/2016:01:43:44 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/animation/animation-min.js HTTP/1.1" 304 -
10.58.180.73 - - [21/Apr/2016:01:43:44 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/container/container-min.js HTTP/1.1" 304 -
10.58.180.73 - - [21/Apr/2016:01:43:44 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/connection/connection-min.js HTTP/1.1" 304 -
10.58.180.73 - - [21/Apr/2016:01:43:44 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/datasource/datasource-min.js HTTP/1.1" 304 -
10.58.180.73 - - [21/Apr/2016:01:43:44 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/autocomplete/autocomplete-min.js HTTP/1.1" 304 -
10.58.180.73 - - [21/Apr/2016:01:43:44 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/element/element-min.js HTTP/1.1" 304 -
10.58.180.73 - - [21/Apr/2016:01:43:44 -0700] "GET /jenkins/static/1b791ed8/scripts/yui/menu/menu-min.js HTTP/1.1" 304 -
