10.173.161.34 - - [24/Oct/2016:08:01:50 -0700] "GET /jenkins/job/SRS_RMA_BUILD_TRIGGER_BY_RMADEV_SP305/build?token=INSTALLER HTTP/1.1" 201 -
10.58.180.73 - - [24/Oct/2016:18:57:51 -0700] "GET /jenkins/ HTTP/1.1" 200 8978
10.58.180.73 - - [24/Oct/2016:18:57:51 -0700] "GET /jenkins/static/799d8c88/css/color.css HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:51 -0700] "GET /jenkins/static/799d8c88/css/style.css HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:51 -0700] "GET /jenkins/static/799d8c88/css/responsive-grid.css HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:51 -0700] "GET /jenkins/adjuncts/799d8c88/lib/layout/breadcrumbs.css HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:51 -0700] "GET /jenkins/static/799d8c88/scripts/yui/container/assets/container.css HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:51 -0700] "GET /jenkins/static/799d8c88/scripts/yui/menu/assets/skins/sam/menu.css HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/assets/skins/sam/skin.css HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/button/assets/skins/sam/button.css HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/adjuncts/799d8c88/org/kohsuke/stapler/bind.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/prototype.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/behavior.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/yahoo/yahoo-min.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/dom/dom-min.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/animation/animation-min.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/event/event-min.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/container/container-min.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/dragdrop/dragdrop-min.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/connection/connection-min.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/datasource/datasource-min.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/menu/menu-min.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/storage/storage-min.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/hudson-behavior.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/autocomplete/autocomplete-min.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/element/element-min.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/cookie/cookie-min.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/yui/button/button-min.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/scripts/sortable.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/adjuncts/799d8c88/lib/layout/breadcrumbs.js HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/images/headshot.png HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/images/title.png HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/images/16x16/help.png HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/images/24x24/setting.png HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/images/24x24/notepad.png HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/images/16x16/collapse.png HTTP/1.1" 304 -
10.58.180.73 - - [24/Oct/2016:18:57:52 -0700] "GET /jenkins/static/799d8c88/images/16x16/stop.png HTTP/1.1" 304 -
