10.173.161.34 - - [18/Sep/2016:08:02:12 -0700] "GET /jenkins/job/SRS_RMA_BUILD_TRIGGER_BY_RMADEV_SP305/build?token=INSTALLER HTTP/1.1" 201 -
10.58.180.73 - - [18/Sep/2016:23:15:10 -0700] "GET /jenkins/ HTTP/1.1" 200 8832
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/css/responsive-grid.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/dom/dom-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/yahoo/yahoo-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/css/color.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/css/style.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/container/assets/container.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/adjuncts/436f1172/lib/layout/breadcrumbs.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/assets/skins/sam/skin.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/menu/assets/skins/sam/menu.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/button/assets/skins/sam/button.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/adjuncts/436f1172/org/kohsuke/stapler/bind.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/event/event-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/prototype.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/behavior.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/animation/animation-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/dragdrop/dragdrop-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/container/container-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/connection/connection-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/datasource/datasource-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/autocomplete/autocomplete-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/menu/menu-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/button/button-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/sortable.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/element/element-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/hudson-behavior.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/storage/storage-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/scripts/yui/cookie/cookie-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/adjuncts/436f1172/lib/layout/breadcrumbs.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/images/headshot.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/images/title.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/images/16x16/collapse.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/images/16x16/help.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:11 -0700] "GET /jenkins/static/436f1172/images/24x24/notepad.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:12 -0700] "GET /jenkins/static/436f1172/images/32x32/health-80plus.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:12 -0700] "GET /jenkins/static/436f1172/images/32x32/blue.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:12 -0700] "GET /jenkins/static/436f1172/images/16x16/search.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:12 -0700] "GET /jenkins/static/436f1172/images/32x32/aborted.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:12 -0700] "GET /jenkins/static/436f1172/images/16x16/health-80plus.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:12 -0700] "GET /jenkins/static/436f1172/images/32x32/blue_anime.gif HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:12 -0700] "GET /jenkins/adjuncts/436f1172/lib/layout/menu_down_arrow.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:12 -0700] "GET /jenkins/adjuncts/436f1172/lib/layout/menu_right_arrow2.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:12 -0700] "GET /jenkins/static/436f1172/images/32x32/health-60to79.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:12 -0700] "GET /jenkins/static/436f1172/images/16x16/health-60to79.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:12 -0700] "GET /jenkins/static/436f1172/images/32x32/health-40to59.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:12 -0700] "GET /jenkins/static/436f1172/plugin/translation/flags.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:12 -0700] "GET /jenkins/static/436f1172/images/16x16/health-40to59.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:12 -0700] "GET /jenkins/static/436f1172/images/24x24/clock_anime.gif HTTP/1.1" 200 5238
10.58.180.73 - - [18/Sep/2016:23:15:12 -0700] "GET /jenkins/static/436f1172/images/atom.gif HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:12 -0700] "GET /jenkins/static/436f1172/images/top-sticker-bottom-edge.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:17 -0700] "POST /jenkins/ajaxBuildQueue HTTP/1.1" 200 593
10.58.180.73 - - [18/Sep/2016:23:15:17 -0700] "POST /jenkins/ajaxExecutors HTTP/1.1" 200 1084
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/ HTTP/1.1" 200 6600
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/static/436f1172/css/style.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/static/436f1172/css/color.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/static/436f1172/css/responsive-grid.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/static/436f1172/scripts/prototype.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/static/436f1172/scripts/behavior.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/static/436f1172/scripts/yui/container/assets/container.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/static/436f1172/scripts/yui/assets/skins/sam/skin.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/static/436f1172/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/adjuncts/436f1172/lib/layout/breadcrumbs.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/static/436f1172/scripts/yui/button/assets/skins/sam/button.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/static/436f1172/scripts/yui/menu/assets/skins/sam/menu.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/adjuncts/436f1172/org/kohsuke/stapler/bind.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/static/436f1172/scripts/yui/yahoo/yahoo-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/static/436f1172/scripts/yui/dom/dom-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/static/436f1172/scripts/yui/event/event-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/static/436f1172/scripts/yui/animation/animation-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/static/436f1172/scripts/yui/dragdrop/dragdrop-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:18 -0700] "GET /jenkins/static/436f1172/scripts/yui/container/container-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/scripts/yui/connection/connection-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/scripts/yui/autocomplete/autocomplete-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/scripts/yui/datasource/datasource-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/scripts/yui/menu/menu-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/scripts/yui/element/element-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/scripts/yui/button/button-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/scripts/yui/storage/storage-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/scripts/hudson-behavior.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/scripts/sortable.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/scripts/yui/cookie/cookie-min.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/adjuncts/436f1172/lib/layout/breadcrumbs.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/headshot.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/title.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/16x16/help.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/24x24/search.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/24x24/up.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/24x24/notepad.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/24x24/folder.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/24x24/edit-delete.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/16x16/collapse.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/16x16/health-80plus.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/plugin/email-ext/images/template-debugger.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/16x16/blue.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/16x16/red.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/16x16/blue_anime.gif HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/16x16/aborted.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/plugin/translation/flags.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/48x48/notepad.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/48x48/folder.png HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:19 -0700] "GET /jenkins/static/436f1172/images/atom.gif HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:23 -0700] "POST /jenkins/job/SP305_SRS_DAILY_BUILD/47/contextMenu HTTP/1.1" 200 323
10.58.180.73 - - [18/Sep/2016:23:15:24 -0700] "GET /jenkins/job/SP305_SRS_DAILY_BUILD/47/console HTTP/1.1" 200 3895
10.58.180.73 - - [18/Sep/2016:23:15:24 -0700] "GET /jenkins/static/436f1172/css/color.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:24 -0700] "GET /jenkins/static/436f1172/css/style.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:24 -0700] "GET /jenkins/static/436f1172/scripts/prototype.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:24 -0700] "GET /jenkins/static/436f1172/css/responsive-grid.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:24 -0700] "GET /jenkins/static/436f1172/scripts/behavior.js HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:24 -0700] "GET /jenkins/static/436f1172/scripts/yui/container/assets/container.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:24 -0700] "GET /jenkins/static/436f1172/scripts/yui/assets/skins/sam/skin.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:24 -0700] "GET /jenkins/static/436f1172/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:24 -0700] "GET /jenkins/static/436f1172/scripts/yui/menu/assets/skins/sam/menu.css HTTP/1.1" 304 -
10.58.180.73 - - [18/Sep/2016:23:15:24 -0700] "GET /jenkins/static/436f1172/scripts/yui/button/assets/skins/sam/button.css HTTP/1.1" 304 -
