10.172.162.20 - - [27/Dec/2015:17:39:24 -0800] "GET /jenkins/job/SRS_RMA_BUILD_TRIGGER_BY_RMADEV_SP303/build?token=INSTALLER HTTP/1.1" 405 8553
10.58.180.73 - - [27/Dec/2015:23:11:12 -0800] "GET /jenkins/ HTTP/1.1" 200 5398
10.58.180.73 - - [27/Dec/2015:23:11:13 -0800] "GET /jenkins/static/1b791ed8/images/32x32/red.png HTTP/1.1" 200 1527
10.58.180.73 - - [27/Dec/2015:23:11:13 -0800] "GET /jenkins/static/1b791ed8/images/32x32/health-20to39.png HTTP/1.1" 200 1808
10.58.180.73 - - [27/Dec/2015:23:11:13 -0800] "GET /jenkins/static/1b791ed8/images/16x16/health-20to39.png HTTP/1.1" 200 783
10.58.180.73 - - [27/Dec/2015:23:11:16 -0800] "GET /jenkins/job/SRS_INSTALLER_TEST_LINUX/ HTTP/1.1" 200 5381
10.58.180.73 - - [27/Dec/2015:23:11:18 -0800] "POST /jenkins/job/SRS_INSTALLER_TEST_LINUX/18/contextMenu HTTP/1.1" 200 375
10.58.180.73 - - [27/Dec/2015:23:11:20 -0800] "GET /jenkins/job/SRS_INSTALLER_TEST_LINUX/18/console HTTP/1.1" 200 6490
10.58.180.73 - - [27/Dec/2015:23:11:20 -0800] "GET /jenkins/descriptor/hudson.tasks._ant.AntOutcomeNote/style.css HTTP/1.1" 304 -
10.58.180.73 - - [27/Dec/2015:23:11:20 -0800] "GET /jenkins/extensionList/hudson.console.ConsoleAnnotatorFactory/hudson.plugins.timestamper.annotator.TimestampAnnotatorFactory/script.js HTTP/1.1" 304 -
10.58.180.73 - - [27/Dec/2015:23:11:20 -0800] "GET /jenkins/static/1b791ed8/images/48x48/red.png HTTP/1.1" 200 2487
10.58.180.73 - - [27/Dec/2015:23:11:20 -0800] "GET /jenkins/descriptor/hudson.tasks._ant.AntTargetNote/script.js HTTP/1.1" 304 -
10.58.180.73 - - [27/Dec/2015:23:11:20 -0800] "GET /jenkins/descriptor/hudson.console.ExpandableDetailsNote/style.css HTTP/1.1" 304 -
10.58.180.73 - - [27/Dec/2015:23:11:20 -0800] "GET /jenkins/descriptor/hudson.console.ExpandableDetailsNote/script.js HTTP/1.1" 304 -
10.58.180.73 - - [27/Dec/2015:23:11:20 -0800] "POST /jenkins/extensionList/hudson.console.ConsoleAnnotatorFactory/hudson.plugins.timestamper.annotator.TimestampAnnotatorFactory/usersettings HTTP/1.1" 200 236
10.58.180.73 - - [27/Dec/2015:23:11:44 -0800] "GET /jenkins/job/SRS_INSTALLER_TEST_LINUX/ HTTP/1.1" 200 5380
10.58.180.73 - - [27/Dec/2015:23:11:48 -0800] "GET /jenkins/ HTTP/1.1" 200 5396
10.58.180.73 - - [27/Dec/2015:23:11:50 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/ HTTP/1.1" 200 6433
10.58.180.73 - - [27/Dec/2015:23:11:52 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/configure HTTP/1.1" 200 26714
10.58.180.73 - - [27/Dec/2015:23:11:53 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.model.FreeStyleProject/checkLabel?value= HTTP/1.1" 200 6
10.58.180.73 - - [27/Dec/2015:23:11:53 -0800] "POST /jenkins/$stapler/bound/7062c1bc-7820-4419-8b0f-144bfd33544c/render HTTP/1.1" 200 789
10.58.180.73 - - [27/Dec/2015:23:11:53 -0800] "POST /jenkins/$stapler/bound/b3ad0a27-ad74-4b78-a369-d7045f8f8029/render HTTP/1.1" 200 180
10.58.180.73 - - [27/Dec/2015:23:11:53 -0800] "POST /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.CvsRepository/fillCompressionLevelItems HTTP/1.1" 200 154
10.58.180.73 - - [27/Dec/2015:23:11:53 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.model.FreeStyleProject/checkCustomWorkspace?value=&customWorkspace= HTTP/1.1" 200 119
10.58.180.73 - - [27/Dec/2015:23:11:53 -0800] "POST /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.CvsRepository/fillCompressionLevelItems HTTP/1.1" 200 154
10.58.180.73 - - [27/Dec/2015:23:11:53 -0800] "GET /jenkins/checkDisplayName?displayName=&jobName=SP303_SRS_WEEKLY_BUILD HTTP/1.1" 200 6
10.58.180.73 - - [27/Dec/2015:23:11:53 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.CvsRepository/checkCvsRoot?value= HTTP/1.1" 200 113
10.58.180.73 - - [27/Dec/2015:23:11:54 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.CvsModule/checkRemoteName?value= HTTP/1.1" 200 117
10.58.180.73 - - [27/Dec/2015:23:11:54 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.ExcludedRegion/checkPattern?value= HTTP/1.1" 200 6
10.58.180.73 - - [27/Dec/2015:23:11:54 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.CvsRepository/checkCvsRoot?value= HTTP/1.1" 200 113
10.58.180.73 - - [27/Dec/2015:23:11:54 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.CvsModule/checkRemoteName?value= HTTP/1.1" 200 117
10.58.180.73 - - [27/Dec/2015:23:11:54 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.CvsModule/checkProjectsetFileName?value= HTTP/1.1" 200 126
10.58.180.73 - - [27/Dec/2015:23:11:54 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.ExcludedRegion/checkPattern?value= HTTP/1.1" 200 6
10.58.180.73 - - [27/Dec/2015:23:11:54 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.SubversionSCM/checkRemote?value= HTTP/1.1" 200 120
10.58.180.73 - - [27/Dec/2015:23:11:55 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.SubversionSCM/checkLocal?value=. HTTP/1.1" 200 6
10.58.180.73 - - [27/Dec/2015:23:11:55 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.scm.SubversionSCM/checkRevisionPropertiesSupported?value= HTTP/1.1" 200 6
10.58.180.73 - - [27/Dec/2015:23:11:55 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/jenkins.triggers.ReverseBuildTrigger/checkUpstreamProjects?value= HTTP/1.1" 200 113
10.58.180.73 - - [27/Dec/2015:23:11:55 -0800] "GET /jenkins/job/SP303_SRS_WEEKLY_BUILD/descriptorByName/hudson.plugins.parameterizedtrigger.BlockableBuildTriggerConfig/checkProjects?value=SRS_INSTALLER_TEST_LINUX HTTP/1.1" 200 6
10.58.180.73 - - [27/Dec/2015:23:11:55 -0800] "GET /jenkins/publisher/ExtendedEmailPublisher/recipientListRecipientsCheck?value=jesson.ji%40sap.com%2C%20lisa.lew%40sap.com HTTP/1.1" 200 6
10.58.180.73 - - [27/Dec/2015:23:11:55 -0800] "GET /jenkins/publisher/ExtendedEmailPublisher/recipientListRecipientsCheck?value=%24DEFAULT_REPLYTO HTTP/1.1" 200 6
